rank	movie_id	title	genres	score	reason
1	422	Movie 0422	Documentary,Sci-Fi	1.9888	Shares liked genre signals: Documentary, Sci-Fi.
2	46	Movie 0046	Documentary,Horror,War	1.9512	Shares liked genre signals: Documentary, Horror, War.
3	930	Movie 0930	Drama,Horror	1.9471	Shares liked genre signals: Drama, Horror.
4	723	Movie 0723	Action,Adventure,Fantasy	1.9415	Shares liked genre signals: Action, Adventure, Fantasy.
5	612	Movie 0612	Documentary,Fantasy,Thriller	1.9316	Shares liked genre signals: Documentary, Fantasy, Thriller.
6	116	Movie 0116	Adventure,Animation,Romance	1.9270	Shares liked genre signals: Adventure, Animation, Romance.
7	1169	Movie 1169	Romance	1.9243	Shares liked genre signals: Romance.
8	72	Movie 0072	Drama,War,Western	1.9164	Shares liked genre signals: Drama, War, Western.
9	181	Movie 0181	Drama,Romance	1.9035	Shares liked genre signals: Drama, Romance.
10	1055	Movie 1055	Crime	1.9035	Shares liked genre signals: Crime.
